x1,x2,x3,x4,x5,x6
-177.5374269377365,-243.38449058538887,-253.5175741980404,-126.93255794508565,-99.16026493989335,-88.09391769178332
-329.10470877682155,-359.01395381214513,-116.04266435027758,-86.41302860599335,-294.275877880679,-46.99331922838498
-135.94626407628988,-141.8430544630994,-275.22406280773214,-166.64090402656478,-62.069479293860574,-117.72066044180778
-328.320547328063,-308.98908675929346,-225.22236780939085,-213.67095101642622,-265.87228812645145,-18.40187719099377
-125.88787444100568,-126.12645434081925,-247.55326934727435,-151.78294877325004,-95.78427128424725,-91.5607328118512
-50.33263242700202,-75.54376101646551,-693.4587846022888,-332.0299789756753,-6.704972867485663,-586.4323546000458
-468.9033019104506,-479.96252383584823,-231.67325304417056,-250.1812000087624,-394.50642599411066,-6.908035871934478
-145.67568723597896,-166.05826003634374,-536.7334196330314,-320.68133781054166,-8.509755984735714,-335.5938669655661
-121.46607756699697,-150.93794172186978,-1284.2920225105245,-772.9593046383104,-0.3336153064791432,-1214.3234775777082
-119.2304089458105,-178.12461974480013,-774.1912384251352,-415.0783693699886,-2.17834090087485,-520.6733150315227
-21.129719898014308,-67.04070571072394,-658.8918700134832,-338.3206984721381,-20.25525632952609,-586.7116063735708
-43.4854545150846,-35.818985305994815,-390.8466843430898,-189.32164968214582,-47.44365027952051,-318.07579315633745
-31.73487997506072,-87.10579505366123,-783.3114731822329,-392.95026437790034,-10.146457686454918,-655.3453721199312
-185.327597281949,-220.52136369036302,-468.0739243464729,-289.3479741729527,-23.75171092579371,-216.54605047454032
-138.39184675466956,-149.5571388500807,-284.75054256137514,-159.03600520921626,-62.6494648066978,-117.51205446867813
-420.11228014845227,-431.589276092849,-273.4981826617578,-259.3835317246497,-302.731435948136,-11.370669660737597
-40.96257309553619,-68.7778363136206,-982.594062063677,-544.7537783504595,-7.823575011512052,-970.0639348641165
-8.307104686271362,-85.11735810108274,-865.2496178955003,-424.9373548951753,-37.437855432806124,-771.5335081274116
-73.93111804355046,-101.35014109529237,-1017.7919500310575,-590.5618479749376,-1.979356049735491,-980.4422478416999
-474.5618159101351,-484.87334680472145,-220.03648030735346,-238.932622628859,-383.3455736221862,-7.732615913044285
-449.27665891184597,-447.0726376727964,-221.53775874169168,-247.42600015549067,-363.85968092231116,-8.231492712358843
-39.284458016078894,-66.67711046125596,-364.2450700497656,-169.4486591327965,-39.08062298403574,-255.9998782078567
-66.96218226002337,-71.88549477971631,-526.9596536878615,-282.0460737985432,-8.385103199547927,-413.02494349301776
-54.195893500682644,-109.15722728899006,-377.81320005953074,-158.3916455045242,-26.6622729289483,-268.74781212513375
-305.8665736483362,-318.8961069148388,-240.2284170726055,-190.64171743466693,-195.6181055323736,-30.036506214282355
-89.56072520342417,-110.79514341800268,-267.40278802489894,-140.27576613187676,-74.53204962631372,-123.24108263549235
-42.430068518717746,-86.49163724562646,-765.5967675514943,-385.2442596049644,-6.763105210355419,-649.4106061543713
-50.62478397192108,-90.9783403283644,-322.62353038195664,-105.5690218916479,-77.19682139847706,-206.48305974270872
-105.2541432315072,-137.30376223002804,-635.294965539613,-370.3863070708638,-2.7756930349201014,-516.2872375934451
-82.11166245400979,-93.46353377392715,-320.92699722852245,-188.56353825319277,-31.06110121859397,-205.67970154701177
-62.38696170301718,-75.90572111274896,-330.90868478319413,-150.35089657658352,-37.855476139596526,-208.4516762310606
-7.34583575495863,-79.79934436722426,-757.1420032331602,-327.79906677144805,-50.35990720046871,-698.0446165939003
-89.03819156282461,-107.94597096312387,-671.5639045993199,-381.13485689372607,-2.89448423988973,-526.8624502953696
