x1,x2,x3,x4,x5,x6,x7,x8
-139.48536877853635,-383.29560182319443,-20217.164859592536,-6985.011967752503,-3.458802794016913,-10494.260543126518,-2947.5372113578874,-128.1564757801087
-2254.5186825488017,-3019.7429767342214,-8006.077266340737,-2063.3798075409236,-1850.116903249508,-50.343451766551794,-842.2813823446385,-2066.5619176855166
-2179.6489646726486,-3034.588773870211,-15204.796886374359,-5125.837499184006,-1705.6038945861662,-3900.8419290275756,-0.05020827978482538,-1920.9892222803624
-111.37761257565222,-186.4307833531778,-5988.418912581246,-1760.5082389898355,-15.101438698993206,-3094.626099239131,-1177.4756791158065,-60.67517087273461
-223.6944444244109,-652.5755355004602,-12209.747288781498,-2575.684590942036,-55.927671515576776,-3429.9513670591,-1003.3351210184762,-7.428458274681501
-359.6151007903706,-488.0576453003569,-3847.9695977549018,-395.20167317040796,-243.75207893219803,-621.1452019878076,-847.9552138103235,-227.77744028145645
-163.31557113841464,-824.13412865354,-19981.83766578285,-6698.211605340573,-13.944782049027035,-8989.641608387132,-1635.0158556479223,-33.739724044114084
-1265.3698476311997,-1593.7031174779604,-2570.993155089776,-670.7588596476271,-1085.877349385699,-86.21645093647963,-1319.9388642453775,-1190.872936859978
-541.3084719882077,-870.342457372433,-931.2770273435619,-407.2712626248307,-475.943436914675,-622.2676910874351,-821.8437823805122,-559.3170990069998
-356.3893150664458,-941.3332542706476,-9260.13984908444,-1853.3764702879378,-170.48978407236487,-1755.0205555022253,-121.02324577705814,-181.36446573083572
-969.4183308723444,-1477.8311516711044,-3003.4183064085946,-775.2719697466671,-742.18728707259,-126.86407275283688,-727.7215825134474,-914.6612217208383
-59.16165029339165,-163.65048249339557,-4923.335782423156,-1097.6172313650882,-71.06845278321161,-2045.7164243533107,-953.1162245640371,-33.42654300105749
-177.42340733554903,-863.6296826940991,-11974.853614919755,-2719.6043207282,-34.56266445876198,-3388.667719240589,-376.49424374756046,-90.60066291130188
-130.6311492717241,-711.6406392231618,-7663.086038359488,-1553.1205685630528,-118.92643312659655,-1808.1342122468677,-208.2714273234379,-132.87406567458024
-95.86588196501806,-202.37300034264453,-5921.947352965096,-1404.7952073417205,-47.114754125666266,-2475.4797936141103,-930.7631769857497,-18.570200011993172
-197.06844557510541,-423.48804603348384,-3651.2305582380363,-805.7979089922794,-112.36397210700792,-903.8187217476892,-348.84868406676077,-137.60499658653234
-20.31473873943063,-438.2722297990333,-8745.732719522062,-2147.498797104313,-61.26870821735594,-3421.8737590208184,-787.7580049414044,-65.49774522688776
-96.80918555292541,-533.2690060255203,-10888.532305254243,-2822.2520930576197,-13.713391486958884,-4209.4962562502105,-729.8687634305162,-58.10024539985689
-220.78679213060659,-114.55692980596412,-10495.430695664314,-3273.250796560661,-30.580494212350235,-5703.037130838538,-2088.8191402623406,-126.60491255535626
-174.08907469382336,-355.0109141942849,-5674.436549108643,-1068.9089651869954,-86.77925193538047,-1469.543446254256,-892.1417774729299,-32.91168172941748
-1612.1355916228906,-2290.340826403229,-10970.705975605997,-3499.9858102296016,-1248.3010983303213,-2218.1185792677657,-1.5280341204729435,-1442.5115315132196
-3444.726561453953,-4353.775907797723,-9309.376660117126,-2628.285999587924,-2950.4853575914017,-3.8555075478383536,-1846.5865105521257,-3187.8717831187037
-251.03063274064738,-405.2259524466324,-4448.401864762439,-424.60033120351164,-169.02032692771712,-890.186331139024,-976.1476523858611,-148.6690442402288
-93.06947510885246,-472.8457130388755,-13646.262344495386,-3285.0932433425505,-106.56315780810188,-5158.374711333025,-1303.0250812575025,-2.9897109840940486
-622.9467036627942,-1464.6114415231214,-7490.255507607707,-1296.3933236479138,-374.44114393170236,-509.22414288344083,-238.92516889118724,-496.94224190134514
-96.68425759327401,-80.73410512298346,-4685.109704416076,-971.7878261094655,-125.93030372788175,-2292.0274785092533,-1279.157068273694,-66.60954099210936
-1408.5662751741081,-1876.1176071138846,-7885.925784623912,-2311.3424559801865,-1099.9383626482597,-1125.0983552358318,-23.336745862982855,-1244.5923311199572
